,idx,title,ingredients,directions,#actions
1164,1164,Shepherd'S Pie,"[""2 Tbsp. cooking oil"", ""1 medium clove garlic"", ""1 medium onion, chopped"", ""3 c. (about) diced leftover cooked beef, trimmed of fat"", ""1/4 c. tomato sauce"", ""1/4 c. beef bouillon"", ""1/4 c. chopped parsley"", ""1/2 tsp. ground oregano"", ""salt and pepper to taste"", ""3 to 4 c. mashed potatoes, seasoned to taste with salt and pepper"", ""grated Parmesan cheese"", ""butter or margarine""]","[""Heat oil; add onion and garlic."", ""Saute over moderately low heat until onion is transparent."", ""Add beef, tomato sauce, bouillon parsley, oregano , salt and pepper."", ""Mix well."", ""Cook mixture over moderately low heat until heated through."", ""Put meat mixture in greased 2-quart casserole."", ""Spoon potatoes evenly on top. Sprinkle potatoes with Parmesan cheese and dot them generously with butter."", ""Bake, uncovered, in oven preheated to 375\u00b0 just until dish is heated through and potatoes are tinged with brown. Yields approximately 6 servings.""]",4
1226,1226,Creamed Tacos,"[""1 1/2 lb. ground beef"", ""1 medium onion, chopped"", ""1 medium bell pepper, chopped"", ""1 can Ro-Tel tomatoes"", ""1 large can Pet milk (evaporated)"", ""1 lb. Velveeta cheese"", ""1 pkg. flour tortillas (any size)"", ""jalapeno peppers (optional)""]","[""Cook ground beef, onion and bell pepper together in a skillet; drain meat."", ""In double boiler, mix the Ro-Tel tomatoes, evaporated milk and Velveeta cheese; heat until cheese melts."", ""Layer ingredients from skillet on bottom of ungreased casserole dish, then spread cheese ingredients on top of meat, then layer flour tortillas."", ""Repeat layers until all ingredients are used."", ""Bake together in a 350\u00b0 oven for 30 minutes.""]",4
1229,1229,Chicken-Mexican Casserole,"[""1 (10 1/2 oz.) can cream of chicken soup"", ""1 (4 oz.) can diced Ortega chiles (green)"", ""1 large pinch instant minced onion"", ""1/2 soup can water"", ""2 large firm, ripe tomatoes, sliced thinly"", ""1 (6 to 8 oz.) pkg. corn chips or tortilla chips"", ""2 (5 oz. each) cans boned chicken, chunked or 2 c. cooked and cubed chicken"", ""1 c. shredded Cheddar cheese""]","[""In a mixing bowl, place soup, chiles, onion and water."", ""Stir to blend well."", ""Lay 1/2 corn chips in 2-quart casserole."", ""Top with 1 can or 1 cup chunked chicken, then half of the tomato slices. Pour half of the soup mixture over chicken mixture. Sprinkle with half of the cheese."", ""Repeat layers in same order, ending with cheese."", ""Bake, uncovered, on High in microwave or reheat 8 to 10 minutes with cover on."", ""Serves 6.""]",4
1233,1233,Au Gratin Potatoes,"[""4 medium potatoes, peeled and cut in 1/4-inch slices"", ""2 Tbsp. oil"", ""4 medium onions, sliced"", ""2 tsp. garlic powder"", ""1/2 tsp. salt"", ""1/2 tsp. black pepper"", ""1/2 c. skim milk"", ""parsley flakes""]","[""Spray 2-quart shallow baking dish with cooking spray and set aside."", ""Cover potatoes with cold water in a pot and bring to a boil."", ""Cook until potatoes are tender, about 10 minutes."", ""Drain and set aside."", ""While potatoes are cooking, heat oil over medium heat in a large nonstick skillet."", ""Add onions and garlic; cook until onions are softened and beginning to brown (about 15 minutes). Spread thin layer of potatoes in baking dish, salt, pepper and onion mixture."", ""Repeat layers ending with onions."", ""Pour in milk. Sprinkle with parsley flakes on top."", ""Bake until potatoes are slightly brown."", ""Bake (preheated) at 400\u00b0 for about 20 minutes.""]",4
1238,1238,Big Boy Sandwich(Poor Boy Sub)  ,"[""1 loaf French bread"", ""mayo (3 parts; approximately)"", ""ketchup (1 part; approximately)"", ""mustard (1 part; approximately)"", ""bologna"", ""summer sausage"", ""ham, thinly sliced"", ""Mozzarella cheese"", ""Velveeta cheese"", ""Cheddar cheese""]","[""Slice bread lengthwise."", ""Mix mayo, ketchup and mustard; spread on bread."", ""Make layer of meats and cheeses on bottom half of bread and cover with top."", ""Wrap in foil."", ""Heat in oven until cheese melts or serve cold."", ""If served cold, add lettuce, sliced tomatoes, onion rings, whatever."", ""Can use any meats and cheeses.""]",4
1259,1259,Ho-Ho Cake(Deep Dark Chocolate Ho-Ho Cake)  ,"[""2 c. flour"", ""3/4 c. unsweetened cocoa powder"", ""1 tsp. baking soda"", ""1/2 tsp. baking powder"", ""3/4 tsp. salt"", ""6 oz. butter (room temperature)"", ""2 c. granulated sugar"", ""3 eggs"", ""1 tsp. vanilla extract"", ""1 c. water"", ""3/4 c. milk""]","[""Heat oven to 350\u00b0."", ""Butter and flour cake pan(s)."", ""Use 2 (9-inch) pans or a tube pan or a sheet pan."", ""Combine dry ingredients and set aside."", ""With an electric mixer set at medium-low speed, beat butter and the granulated sugar until fluffy and light in color, about 5 minutes."", ""Beat in eggs, one at a time, beating well after each addition."", ""Add vanilla."", ""Reduce speed and beat in flour mixture in thirds, alternating with the milk and water, until just mixed."", ""Pour into prepared pan(s). Bake until a toothpick stuck into the center comes out clean (30 to 35 minutes for two 9-inch pans)."", ""Cool in pan(s) 10 minutes. Remove from pans and cool completely.""]",4
1267,1267,Cheesy Vegetable Chowder,"[""1/2 c. chopped onion"", ""1 clove garlic, minced"", ""1 c. sliced celery"", ""3/4 c. sliced carrots"", ""1 c. cubed potatoes"", ""3 1/2 c. chicken broth"", ""1 (17 oz.) can cream-style corn"", ""1/4 c. butter or margarine"", ""1/4 c. flour"", ""2 c. milk"", ""1/4 tsp. pepper"", ""1/8 tsp. paprika"", ""2 c. shredded Cheddar cheese""]","[""Combine onion, garlic, celery, carrots, potatoes and chicken broth in a large Dutch oven; bring to a boil."", ""Cover, reduce heat and simmer 15 to 20 minutes or until potatoes are tender."", ""Stir in corn; remove from heat."", ""Melt butter in a heavy saucepan over low heat; add flour, stirring until smooth."", ""Cook 1 minute, stirring constantly."", ""Gradually add milk; cook over medium heat, stirring constantly until thickened and bubbly."", ""Stir in remaining ingredients; cook until cheese melts, stirring constantly. Gradually stir cheese mixture into vegetable mixture."", ""Cook over medium heat, stirring constantly until thoroughly heated."", ""Serve immediately."", ""Yield:"", ""4 to 6 servings.""]",4
1308,1308,Peanut Butter Cake(Low Calorie-160 Per Slice)  ,"[""2/3 c. unsweetened applesauce"", ""2 c. sifted cake flour"", ""3 tsp. baking powder"", ""1/2 c. reduced fat or natural peanut butter"", ""1 c. packed brown sugar"", ""1 tsp. vanilla extract"", ""2 large eggs"", ""1 large egg white"", ""3/4 c. fat free milk""]","[""Place a strainer over a deep bowl."", ""Spoon applesauce into the strainer and set aside to drain 15 minutes."", ""You should have about 1/3 cup drained applesauce."", ""Discard the liquid."", ""Preheat oven to 350\u00b0."", ""Coat 13 x 9"", ""inch baking dish with nonstick spray."", ""In medium bowl, combine flour and baking powder."", ""In a large bowl, with an electric mixer, beat peanut butter 2 minutes."", ""Add drained applesauce and beat 2 minutes or until creamy."", ""Beat in vanilla extract."", ""Beat in eggs, one at a time."", ""Beat in egg white."", ""Beat in milk."", ""Add flour mixture and mix on low until moistened."", ""Pour batter into prepared baking dish and bake 20-25 minutes or until cake springs back when pressed."", ""Cool completely in dish on a rack.""]",4
1326,1326,Very Cheese-Y Macaroni,"[""8 oz. elbow macaroni"", ""1 c. broccoli florets"", ""4 Tbsp. butter"", ""2 Tbsp. flour"", ""2 c. low-fat milk"", ""1 c. shredded sharp Cheddar cheese"", ""1/2 c. grated Parmesan cheese"", ""1/2 tsp. salt"", ""1/4 tsp. cayenne pepper"", ""1/4 c. whole wheat bread crumbs""]","[""In medium saucepan, cook macaroni according to package directions, until al dente."", ""Drain well."", ""Fill another saucepan 3/4 full with water."", ""Bring water to a boil."", ""Add broccoli; reduce heat to medium and cook until done."", ""Drain and set aside."", ""Preheat oven to 375\u00b0."", ""Grease an 8-inch glass baking dish."", ""In medium saucepan, melt butter; add flour and stir until smooth."", ""Whisk in milk, stirring continually, until thickened, about 3 minutes. Remove from heat."", ""Reserve 1/4 cup Cheddar cheese."", ""Stir remaining Cheddar, Gruyere, Parmesan, salt and cayenne until cheese melts. Add macaroni and broccoli."", ""Put it into baking dish."", ""Bake 15 minutes."", ""Sprinkle Cheddar and bread crumbs on top; bake another 15 minutes, until bubbly.""]",4
1346,1346,Poppy Seed Chicken,"[""5 or 6 chicken breasts"", ""1 can cream of chicken soup"", ""1 c. sour cream"", ""1 Tbsp. lemon juice"", ""1/4 box crackers (1 pack of 4 pack box)"", ""1/2 stick oleo"", ""poppy seed""]","[""Cook chicken and cut in bite size pieces."", ""Add soups, sour cream and lemon juice; mix well."", ""Melt oleo, crumble crackers over chicken mixture which has been put in a baking pan."", ""Drizzle oleo over the crackers."", ""Sprinkle poppy seed over the mixture and bake 30 minutes at 350\u00b0.""]",4
1348,1348,Nadiola'S Cinnamon Coffee Cake,"[""1 box Duncan Hines butter recipe golden cake mix"", ""1/2 c. sugar"", ""3/4 c. Crisco oil"", ""4 eggs"", ""1 (8 oz.) carton sour cream"", ""1 Tbsp. cinnamon"", ""1 Tbsp. sugar""]","[""Mix cake mix, 1/2 cup"", ""sugar and Crisco oil together, beating well."", ""Add eggs, one at a time, beating well after each egg."", ""Then add sour cream."", ""Mix well, but do not beat hard after adding sour cream."", ""Spray or grease and flour Bundt pan."", ""Add 1/2 of the batter to the pan."", ""Mix together cinnamon and 1 tablespoon sugar."", ""Sprinkle over batter in pan, then add remaining batter."", ""Bake at 350\u00b0 for 50 minutes."", ""Let cool in pan for 10 minutes before turning out.""]",4
1358,1358,Avocado-Beef Tortilla Pizza,"[""1 lb. ground beef"", ""1/2 tsp. salt"", ""1 clove garlic, minced"", ""1/4 lb. sliced mushrooms"", ""1 (7 oz.) can green chili"", ""4 large tortillas"", ""1 avocado"", ""1/2 c. chopped onions"", ""1/2 c. chopped green peppers"", ""1 (2 1/2 oz.) can sliced ripe olives"", ""1/2 lb. shredded Monterey Jack cheese""]","[""Brown crumbled meat and drain."", ""Add salt, garlic, mushrooms and green chili."", ""Cook over high heat for 3 to 5 minutes until liquid has evaporated."", ""Brush 4 large tortillas with oil and place on cookie sheet."", ""Spread with meat mixture.""]",4
1418,1418,Skewered Chicken In Mustard Dill,"[""6 large whole chicken breasts (on the bone)"", ""1 Tbsp. peppercorns"", ""1 large onion, peeled and cut in quarters"", ""Mustard Dill Sauce"", ""fresh dill for garnish""]","[""Put chicken"", ""in"", ""large"", ""pot with peppercorns and onion. Add enough water"", ""to cover and bring to boil."", ""Reduce heat and cook for 10 minutes."", ""Remove from heat and cool chicken in the liquid. When cool, break each breast in half and discard skin and bone. Cut meat into 1-inch chunks."", ""Place in a large bowl and add Mustard"", ""Dill"", ""Sauce."", ""Cover"", ""and"", ""refrigerate up to 8 hours. Stir"", ""gently occasionally."", ""When ready to serve, put 2 chunks of chicken"", ""on"", ""small"", ""bamboo skewer and arrange spoke fashion on large platter."", ""Garnish with fresh dill."", ""(Can also serve meat off the"", ""skewer"", ""on"", ""a bed of lettuce as a salad.) Makes 45 to 50 servings.""]",4
1436,1436,Schoolhouse Peanut Butter Cookies,"[""1 c. brown sugar"", ""1 c. white sugar"", ""1/4 c. peanut butter"", ""2 eggs"", ""1 1/4 c. plain flour"", ""1/2 tsp. soda"", ""1/8 tsp. salt"", ""1/3 c. sweet milk"", ""1 tsp. vanilla""]","[""Combine"", ""sugars"", ""and margarine."", ""Add peanut butter; mix thoroughly."", ""Add"", ""eggs"", ""and mix well."", ""Combine flour, soda and salt."", ""Add"", ""alternately"", ""with"", ""milk, beginning with flour mixture. Add"", ""vanilla"", ""and mix well."", ""Drop a heaping teaspoonful for"", ""each cookie"", ""3"", ""inches apart on a lightly greased cookie sheet."", ""Bake at 350\u00b0 for 15 minutes."", ""Remove from oven and let cool"", ""before removing from pan."", ""Do not put in container hot. Let cool."", ""Makes 18 to 24 cookies.""]",4
1485,1485,Chocolate Zucchini Cake,"[""3/4 c. margarine"", ""2 c. white sugar"", ""1/2 c. cocoa"", ""3 eggs"", ""1/4 c. oil"", ""2 1/2 c. flour"", ""2 1/2 tsp. baking powder"", ""1 tsp. salt"", ""1 1/2 tsp. soda"", ""1 tsp. cinnamon"", ""1/2 c. milk"", ""2 c. grated zucchini"", ""1/2 c. chopped nuts"", ""1 tsp. vanilla""]","[""In a bowl, mix oleomargarine, sugar and cocoa."", ""Add 3 eggs while mixing."", ""Slowly add flour, baking powder, salt, soda and cinnamon."", ""Beat in 1/2 cup milk."", ""Stir in zucchini, nuts and vanilla; mix well."", ""Pour into a greased and floured 9 x 12-inch cake pan."", ""Bake at 350\u00b0 for 35 minutes.""]",4
1518,1518,Wholesome Oatmeal Biscuits,"[""2 c. flour"", ""2 Tbsp. baking powder"", ""1 1/2 tsp. salt"", ""3 Tbsp. firmly packed brown sugar"", ""2/3 c. instant nonfat dry milk"", ""2 c. quick oats"", ""1/2 c. shortening"", ""2 beaten eggs"", ""1 c. water""]","[""Combine flour, baking powder, salt, brown sugar, nonfat dry milk and oats in medium bowl."", ""Mix thoroughly, breaking up brown sugar to distribute evenly."", ""Cut in shortening until mixture is crumbly."", ""Combine eggs and water; add to flour mixture."", ""Stir just until blended."", ""Drop by heaping teaspoonfuls onto cookie sheet. Bake in 400\u00b0 oven for 8 to 10 minutes, or until lightly browned. Makes 2 dozen drop biscuits.""]",4
1555,1555,Tater Wedges With Cheese,"[""6 medium potatoes"", ""1/2 head lettuce"", ""2 large tomatoes"", ""1 jar nacho cheese"", ""2 c. flour"", ""salt and pepper to taste"", ""Crisco oil""]","[""Cut potatoes in wedges; roll in flour, then pour in oil in fry skillet."", ""Place potatoes in oil and cook until brown."", ""Place on paper towel to drain excess oil."", ""Dice lettuce and tomatoes. Place on plate, then add potatoes on top."", ""Heat cheese in microwave oven, then pour over top of all your ingredients. Serves 4.""]",4
1657,1657,Dumbo'S Double-Thick Chocolate Malted,"[""1/2 c. milk"", ""2 scoops chocolate ice milk or ice cream"", ""3 Tbsp. chocolate-flavored malted milk""]","[""Pour the milk into a small mixing bowl."", ""Add 1 scoop ice cream."", ""Beat with an eggbeater until the ice cream is mixed in. Add the rest of the ice cream and the malted milk."", ""Beat again until mixture is foamy."", ""Pour into a glass to serve."", ""Serves 1.""]",4
1669,1669,Fat-Free Cajun French Fries,"[""5 large potatoes (with skin or peeled, as desired)"", ""2 Tbsp. Cajun seasoning"", ""2 egg whites"", ""nonstick cooking spray (i.e., Pam)""]","[""Slice washed potatoes."", ""Place in bowl."", ""Mix in 2 tablespoons Cajun seasoning."", ""Stir in unbeaten egg whites, coating the potatoes."", ""Place mixture in sprayed pan(s) and bake at 350\u00b0."", ""Turn potatoes with a spatula every 15 minutes until done."", ""This gives them a crunchy, browned exterior."", ""Cooking time is 45 to 60 minutes.""]",4
1672,1672,Chicken Vegetable Casserole,"[""1 box chicken Rice-A-Roni"", ""3 c. cooked chicken"", ""1 (16 oz.) pkg. California Blend vegetables, cooked"", ""1 can cream of mushroom soup"", ""1 can milk"", ""1 cube margarine"", ""1 c. grated mild Cheddar cheese"", ""3/4 c. crushed cornflakes""]","[""Spread Rice-A-Roni in a 9 x 13-inch pan."", ""Place chicken on rice."", ""Put vegetables on chicken."", ""Heat soup, milk and margarine until margarine is melted."", ""Pour soup mixture over everything. Sprinkle cheese on top."", ""Cover with foil and bake at 350\u00b0 for 45 minutes."", ""Remove foil."", ""Sprinkle cornflakes over top of dish and put back in oven, uncovered, for 10 minutes."", ""Enjoy!""]",4
1690,1690,Scripture Cake,"[""4 1/2 c. 1 Kings 4:22 (flour)"", ""1 c. Judges 5:25 (last clause; butter)"", ""2 c. Jeremiah 6:20 (sugar)"", ""2 c. 1 Samuel 30:12 (raisins)"", ""2 c. Nahum 3:12 (figs)"", ""2 c. Numbers 17:8 (almonds)"", ""3 Tbsp. 1 Samuel 14:25 (honey)"", ""2 Tbsp. Amos 4:5 (baking powder)"", ""1/2 c. Judges 4:19 (last clause; milk)"", ""6 Jeremiah 17:11 (eggs)"", ""pinch of Leviticus 2:13 (salt)"", ""2 Chronicles 9:9 (spice) or 1 tsp. allspice""]","[""Follow Solomon's advice for making good boys and you will have a good cake (Proverbs 23:14 - beat well)."", ""Cream butter, sugar and honey until well blended."", ""Add eggs, one at a time, beating well after each addition."", ""Sift flour."", ""Measure and sift 4 1/2 cups together with dry ingredients."", ""Cut raisins, figs and almonds; set aside after rolling in flour."", ""Add dry ingredients alternately with milk to creamed mixture."", ""Blend and beat well."", ""Fold in fruit and nuts."", ""(Add 1 teaspoon vanilla, if desired.)"", ""Turn batter into greased tube pan or rectangular pan."", ""Bake at 325\u00b0 for 1 hour and 35 to 40 minutes."", ""Cool slightly and remove from pan.""]",4
1789,1789,"Pepper, Tomato And Onion Stew","[""4 lb. tomatoes, peeled and seeded"", ""2 tsp. salt, divided"", ""1/2 c. olive oil"", ""1/4 c. unsalted butter"", ""2 lb. green peppers, chopped"", ""2 lb. sweet red peppers, chopped"", ""2 lb. pearl onions, peeled"", ""4 bulbs garlic, minced"", ""2 Tbsp. dried whole basil"", ""1/2 tsp. freshly ground pepper""]","[""Cut tomatoes in half; scoop out pulp and reserve for use in other recipes."", ""Sprinkle insides of tomatoes with 1 teaspoon salt. Place tomato shells upside down on paper towels to drain."", ""Let stand for 30 minutes."", ""Chop and set aside."", ""Combine olive oil and butter in a large skillet over medium heat; add green peppers, red peppers, onions and garlic."", ""Cook, stirring frequently, until onions are translucent."", ""Add reserved tomatoes and basil."", ""Reduce heat to low; cover and cook for 10 minutes."", ""Add remaining salt and pepper."", ""Increase heat to high and cook, uncovered, until most of the liquid has evaporated, stirring frequently.""]",4
1822,1822,Pork Chops And Scalloped Potatoes,"[""3 Tbsp. butter or oleo"", ""3 Tbsp. all-purpose flour"", ""6 c. thinly sliced potatoes"", ""1 medium onion, sliced"", ""6 pork chops"", ""2 Tbsp. cooking oil"", ""1 1/2 tsp. salt"", ""1/4 tsp. pepper"", ""1 (14.5 oz.) can chicken broth"", ""paprika and parsley""]","[""In saucepan, melt butter."", ""Stir in flour, salt and pepper."", ""Add chicken broth; stir constantly until mixture boils."", ""Cook for 1 minute."", ""Remove from heat; set aside."", ""In skillet, brown pork chops; season with additional salt and pepper."", ""Put sliced potatoes and onion into greased 13 x 9-inch baking dish."", ""Cover with broth mixture."", ""Put pork chops on top."", ""Cover; bake for 1 hour."", ""Uncover and bake for 10 minutes."", ""Sprinkle with paprika and parsley before serving.""]",4
1831,1831,Sweet Potato Pie,"[""4 medium potatoes, cooked and mashed"", ""3 1/2 c. sugar"", ""1 c. all-purpose flour"", ""3 eggs, beaten"", ""2 sticks butter"", ""1/2 c. Carnation milk"", ""1/2 tsp. baking powder"", ""1/4 tsp. salt"", ""2 tsp. nutmeg"", ""1 tsp. butter flavoring""]","[""Combine potatoes, milk and butter."", ""Beat with electric mixer at medium speed, rinsing beaters several times to remove strings from potatoes."", ""Mix all dry ingredients, add alternately to potato mixture."", ""Then add egg and mix thoroughly, add flavoring and beat. Prick two pie crusts with a fork."", ""Pour potato mixture into pie crusts."", ""Bake 45 minutes in a 350\u00b0 oven.""]",4
1859,1859,Mexican Cornbread,"[""1 (17 oz.) can cream-style corn"", ""1 c. buttermilk"", ""1/2 c. vegetable oil"", ""2 eggs, beaten"", ""1 c. cornbread mix"", ""1 (4 oz.) can chopped green chilies, drained"", ""1 1/2 c. (6 oz.) shredded Cheddar cheese""]","[""Combine corn, buttermilk, oil and eggs; mix well."", ""Stir in cornbread mix."", ""Pour half of batter into a greased 9-inch square pan; sprinkle with green chilies and half of cheese."", ""Pour remaining half of batter over top and sprinkle with remaining cheese."", ""Bake at 350\u00b0 for 45 to 50 minutes or until done."", ""Cut into squares."", ""Yields 9.""]",4
1861,1861,Banana Slat Cake,"[""2 sticks oleo"", ""2 c. sugar"", ""4 eggs, beaten"", ""3 lg. ripe bananas, mashed"", ""1-1/2 tsp. vanilla"", ""2-1/2 c. flour"", ""1 tsp. soda"", ""4 Tbsp. buttermilk"", ""pinch salt""]","[""Cream oleo with sugar and blend well; add beaten eggs to mixture."", ""Add vanilla and bananas to creamed mixture."", ""Sift and measure flour with soda and sift again."", ""Add milk and dry ingredients alternately to creamed mixture."", ""Bake in 9x13-inch pan for 1 hour at 325\u00b0.""]",4
1887,1887,Sweet Green Tomato Pickles,"[""7 lb. green tomatoes, thinly sliced"", ""2 gal. water"", ""2 c. pickling lime"", ""9 c. apple cider vinegar"", ""10 c. sugar"", ""1 tsp. salt"", ""3 tsp. pickling spice"", ""1 tsp. whole cloves"", ""1 tsp. celery seed""]","[""In a large plastic container, soak tomatoes in water and lime mixture for 24 hours. Rinse well and soak in cold water 3 hours. Combine vinegar, sugar and salt in another container."", ""Place pickling spice, cloves and celery seed in cheesecloth bag. Add to vinegar mixture."", ""Set aside. Drain water from tomatoes; pour vinegar mixture over the tomatoes."", ""Soak overnight."", ""Next morning, simmer mixture until the tomatoes are transparent (about 50 minutes). Fill in hot sterilized jars and process in boiling water bath 5 minutes.""]",4
1998,1998,Bee Cake,"[""1 1/4 to 1 3/4 c. unsifted flour"", ""2 Tbsp. sugar"", ""1/4 tsp. salt"", ""1 tsp. grated lemon peel"", ""1 pkg. yeast"", ""1/3 c. milk"", ""1/4 c. water"", ""2 Tbsp. margarine"", ""1 egg"", ""coconut topping and vanilla cream filling""]","[""In large bowl, mix 1/2 cup flour, sugar, salt, lemon peel and yeast."", ""Combine milk, water and margarine in saucepan."", ""Heat liquid (120\u00b0 to 130\u00b0)."", ""Gradually add to dry mix."", ""Beat 2 minutes on medium speed."", ""Add egg and 1/2 cup flour."", ""Beat high 2 minutes. Stir in more flour to make soft dough."", ""Cover and rise in oven until double (30 minutes).""]",4
2004,2004,Peanut Butter Blossoms,"[""1/2 c. shortening"", ""1/2 c. peanut butter"", ""1/2 c. sugar"", ""1/2 c. brown sugar, firmly packed"", ""1 egg"", ""2 Tbsp. milk"", ""1 tsp. vanilla extract"", ""1 3/4 c. flour"", ""1/4 c. sugar"", ""48 chocolate kisses""]","[""Cream"", ""shortening and peanut butter."", ""Gradually add 1/2 cup sugar"", ""and\tbrown"", ""sugar, beating until light and fluffy. Add egg,"", ""milk\tand"", ""vanilla;"", ""beat"", ""well."", ""Combine flour and creamed mixture."", ""Roll dough into 1-inch balls; roll into 1/4 cup of sugar."", ""Place balls 2-inches apart on a lightly greased cookie sheet."", ""Bake at 375\u00b0 for 8 minutes."", ""Remove from oven, press"", ""a chocolate kiss into center of cookie; return to oven for another 2 minutes."", ""Yield: 4 dozen.""]",4
2007,2007,Tostado Casserole,"[""1 lb. ground beef"", ""15 oz. can tomato sauce"", ""1 envelope taco seasoning mix"", ""2 1/2 c. corn chips"", ""15 1/2 oz. can refried beans"", ""2 oz. (1/2 c.) shredded Cheddar cheese""]","[""In a skillet, brown ground beef."", ""Drain and add 1 1/2 cups tomato sauce and seasoning mix and mix well."", ""Line bottom of a 11 x 8 x 2 pan with 2 cups corn chips."", ""Crush remaining corn chips and set aside."", ""Spoon meat mixture over corn chips in baking dish. Combine remaining tomato sauce and refried beans."", ""Spread over ground beef mixture."", ""Bake at 375\u00b0 for 25 minutes."", ""Sprinkle with shredded cheese and crushed corn chips."", ""Bake for 5 more minutes.""]",4
2024,2024,Broccoli Supreme,"[""10 oz. chopped frozen broccoli"", ""1/2 c. sour cream"", ""1 Tbsp. chopped onion"", ""1 can cream of chicken soup"", ""1/2 stick margarine"", ""1 Tbsp. flour"", ""3/4 c. herb dressing"", ""salt and pepper to taste""]","[""Cook broccoli; drain."", ""In a bowl, mix soup, sour cream, flour, onion, salt and pepper."", ""Heat."", ""Remove from heat."", ""Add broccoli; stir gently."", ""In a saucepan, melt margarine and add dressing."", ""Mix well."", ""Pour broccoli mixture into a 2-quart casserole dish."", ""Top with dressing mixture."", ""Bake at 350\u00b0 for 30 to 35 minutes."", ""Serves 6.""]",4
2103,2103,Twice-Baked Potatoes,"[""6 medium baking potatoes"", ""1 (8 oz.) pkg. cream cheese"", ""1/2 c. hot milk"", ""1 tsp. garlic salt"", ""2 Tbsp. butter"", ""1/2 c. parsley, finely chopped"", ""paprika""]","[""Put cream cheese out to soften."", ""Scrub potatoes and dry. Grease them with butter and salt the skins."", ""Bake at 350\u00b0 for 1 hour."", ""Remove from oven and cool to handle."", ""Cut them in half lengthwise."", ""Remove cooked potato to bowl, being careful to reserve the skins whole."", ""Mash with cream cheese, hot milk, garlic salt and butter."", ""Pile mixture back into skins."", ""Sprinkle with parsley and paprika and bake 20 more minutes."", ""Makes 6 servings.""]",4
2138,2138,Deer Jerky,"[""deer meat (1/8-inch slices)"", ""salt"", ""pepper"", ""garlic powder"", ""soy sauce"", ""Worcestershire"", ""liquid smoke""]","[""Cover bottom of pan with meat strips."", ""Liberally salt, pepper and garlic."", ""Sprinkle with soy sauce."", ""Cover with Worcestershire sauce."", ""Repeat layers if necessary."", ""Make sure meat is submerged. Cover and refrigerate 24 to 48 hours."", ""Place foil on oven racks; shape an edge."", ""Lay meat in single layer, edge to edge."", ""Brush with liquid smoke."", ""Dry in 150\u00b0 to 175\u00b0 oven until bends, but does not break, about 5 hours.""]",4
2180,2180,Layered Zucchini Casserole,"[""6 strips bacon, fried and crumbled"", ""5 small zucchini, sliced"", ""1 eggplant, cubed"", ""1 large onion, sliced"", ""1 lb. fresh mushrooms, sliced"", ""1 pkg. grated Swiss cheese"", ""2 c. fresh tomatoes, crushed"", ""2 Tbsp. flour"", ""1 tsp. garlic powder"", ""1 tsp. salt"", ""dash of pepper"", ""1 tsp. basil"", ""slivered almonds (optional)""]","[""Fry bacon and onion in skillet; remove."", ""Saute mushrooms next; remove."", ""Saute zucchini; remove."", ""Fry eggplant last, it takes longer."", ""Put all cooked vegetables back in pan and sprinkle with flour."", ""Stir in fresh tomato chunks, garlic, basil, salt and pepper."", ""In large casserole dish, layer vegetables, bacon, cheese, vegetables, bacon and cheese."", ""Add almonds if desired."", ""Bake at 400\u00b0 for 20 minutes.""]",4
2209,2209,Carol'S Coconut-Pecan Ice Cream Pie,"[""1 c. vanilla wafer crumbs"", ""1/2 c. shredded coconut"", ""1/4 c. butter, melted"", ""1/4 c. sugar"", ""3 egg whites"", ""1/8 tsp. salt"", ""2 pt. vanilla ice cream, softened"", ""1 c. pecan halves, broken"", ""1/8 tsp. cream of tartar""]","[""In a 9-inch pie pan, mix first 4 ingredients."", ""With back of spoon, press mixture to bottom and sides of pan."", ""Place in freezer until firm, about 10 minutes."", ""In large bowl, mix ice cream and pecans."", ""Smooth into crust."", ""Cover and freeze until firm for at least 4 hours."", ""Twenty minutes before serving, preheat oven to 500\u00b0.""]",4
2211,2211,Lancanshire Hot Pot,"[""1 lb. lean tender beef"", ""5 medium potatoes"", ""2 medium carrots"", ""2 medium onions"", ""2 stalks celery"", ""1/2 level tsp. pepper"", ""2 Tbsp. chopped parsley"", ""1/2 level tsp. mixed herbs"", ""1 tsp. salt"", ""3/4 pt. stock or beef cubes""]","[""Cut meat and vegetables into very thin slices."", ""Place layer of potatoes on bottom of greased 3-pint dish."", ""Add layer of meat, onions, carrots and celery."", ""Sprinkle some of each seasoning on each layer."", ""Repeat order of potatoes, meat and vegetables with top layer of potatoes."", ""Pour stock into dish until 3/4 full. Cover dish and bake for 2 hours in moderate 350\u00b0 oven."", ""Remove cover for last 30 minutes to brown potatoes."", ""Serves 6 people.""]",4
2243,2243,Peanut Butter Fudge,"[""2 c. sugar"", ""2 Tbsp. light corn syrup"", ""2/3 c. milk"", ""1/4 tsp. salt"", ""1 tsp. vanilla"", ""1/2 c. peanut butter""]","[""Combine sugar, syrup, milk and salt."", ""Cook until a soft ball forms when dropped in cold water."", ""Remove from heat."", ""Add vanilla and peanut butter."", ""Cool for 5 minutes; beat until mixture is creamy and begins to thicken."", ""Pour contents into a buttered pan; cut into squares."", ""Chopped pecans or walnuts may be added, if desired."", ""Yields 1 pound.""]",4
