,idx,title,ingredients,directions,#actions
17055,17055,Fast Strawberry Mousse,"[""1 (10 oz.) pkg. frozen sweetened strawberries"", ""1/2 pt. sour cream"", ""1/2 c. sugar"", ""1 tsp. vanilla"", ""2 lb. walnut meats, chopped fine in blender"", ""1 c. sugar"", ""1 1/2 tsp. cinnamon"", ""1/2 tsp. nutmeg"", ""1 lb. melted butter"", ""1 lb. filo dough (tissue thin pastry sheets; can be purchased frozen)""]","[""Chop walnuts and mix with sugar and spices."", ""Grease an 11 x 16-inch pan with melted butter."", ""Place 4 filo in pan, brushing each with melted butter."", ""Sprinkle with thin layer of nut mixture. Cover with 3 filo, brushing each with melted butter."", ""Continue this procedure until all filo and mixture is used."", ""Finish with 4 filo on top, brushing each with butter."", ""Cut into about 75 small squares (before baking)."", ""Bake in slow oven (300\u00b0) for 1 hour or longer, until lightly brown."", ""Remove from oven and cool."", ""Pour warm syrup over pastry.""]",6
17074,17074,Chestnut And Cranberry Dressing,"[""3 cups unsalted chicken stock"", ""1 cup dried cranberries"", ""4 Tbsp (1/2 stick) unsalted butter"", ""1 yellow onion, chopped"", ""1 celery stock, chopped"", ""1 carrot, peeled & chopped"", ""1/2 lb bulk pork sausage"", ""1 egg, lightly beaten"", ""1 lb loaf country bread, crusts removed, bread cut into 1/2-inch pieces and toasted"", ""2 cups prepared French chestnuts, halved"", ""2 Tbsp chopped fresh sage"", ""1 tsp chopped fresh thyme"", ""2 Tbsp chopped flat leaf parsley"", ""salt & freshly ground pepper to taste""]","[""Preheat oven to 350\u00b0."", ""Butter a 2 1/4-3 qt. baking dish."", ""In a small saucepan over medium heat, warm stock until steam begins to rise, 3-5 minutes."", ""Remove from heat, and add cranberries; set aside."", ""In a large fry pan over medium heat, melt butter."", ""Add onion, celery, and carrot; saute, stirring , until tender and translucent, 2-3 minutes."", ""Using a slotted spoon, transfer to a bowl."", ""In the same pan, saute sausage, stirring and crumbling with a fork, until lightly browned and cooked through, about 10 minutes. Transfer sausage to bowl with vegetables."", ""In a large bowl, stir egg white slowly pouring in stock and cranberries."", ""Add bread and stir until well blended."", ""Let stand, stirring occasionally, until stock is absorbed, 6-8 minutes."", ""Add vegetable-sausage mixture, chestnuts, sage, thyme, and parsley."", ""Season with salt and pepper and stir to mix well."", ""Transfer to prepared baking dish."", ""Bake until brown and crispy, 45-50 minutes."", ""Serves 10-12.""]",6
17211,17211,Pushcart Palpetta(Spaghetti Sauce)  ,"[""1 lb. mushrooms"", ""1 lb. Italian sweet sausage"", ""6 Tbsp. oil"", ""1 large onion, chopped"", ""1 green pepper, chopped"", ""2 stalks celery, chopped"", ""1 lb. hamburg"", ""1 tsp. salt"", ""1/2 tsp. oregano"", ""1/2 tsp. basil"", ""2 Tbsp. parsley"", ""2 to 3 cans tomato sauce"", ""1/4 c. dry red wine""]","[""Remove and chop the stems from mushrooms."", ""Heat 3 tablespoons oil in large skillet; saute mushroom caps, round side down first, for 3 minutes."", ""Turn and repeat."", ""Brown sausages; discard fat. Heat 3 tablespoons oil; saute mushroom stems, green pepper, onion and celery until brown."", ""Move to side; cook hamburg."", ""Cut sausages into 1/2-inch slices; return to skillet."", ""Add salt, oregano, basil, parsley, tomato sauce and dry red wine."", ""Cover; simmer slowly for 45 minutes.""]",6
17434,17434,Strawberry Salad Dessert,"[""1 large or 2 small pkg. strawberry Jell-O"", ""2 small bananas, diced"", ""1 pt. frozen strawberries"", ""1 small can crushed pineapple"", ""1 carton whipping cream"", ""1 (4 oz.) pkg. cream cheese"", ""1/2 c. confectioners sugar""]","[""Dissolve Jell-O in 1 cup boiling water."", ""Add 1 cup cold water. Add"", ""thawed strawberries, diced bananas and pineapple. Pour 1/2 of mixture into mold or glass dish."", ""Place in refrigerator"", ""to gel."", ""Leave the remaining mixture at room temperature."", ""Whip cream."", ""Beat"", ""cheese"", ""and sugar together, fold in whipped"", ""cream. Beat"", ""cheese"", ""and"", ""sugar"", ""together,"", ""fold"", ""in whipped"", ""cream. When"", ""mixture"", ""in"", ""refrigerator"", ""gels, spread cream"", ""mixture over it."", ""Chill. Carefully spoon on the remaining"", ""half"", ""of"", ""fruit mixture."", ""Return to refrigerator to chill and set.""]",6
17530,17530,Rosemary Chicken And Mushrooms,"[""1 lb. boneless chicken breast"", ""1 tsp. low-fat mayonnaise"", ""salt or garlic salt and lemon pepper to taste"", ""2 onions, chopped"", ""1/2 c. dry white wine or water"", ""1/4 tsp. dried rosemary"", ""1/2 lb. small fresh mushrooms"", ""1/4 c. grated Parmesan cheese""]","[""Cut chicken into 1 1/2-inch cubes."", ""Spread lightly with mayonnaise and sprinkle with salt and lemon pepper."", ""Arrange chicken cubes in shallow layer in nonstick skillet and brown quickly over high heat, turning once."", ""Remove and set aside. Combine onions, wine, rosemary and mushrooms in skillet."", ""Cook and stir over high heat until most of liquid evaporates and onions and mushrooms begin to brown."", ""Return chicken to skillet and heat through."", ""Sprinkle with Parmesan cheese and serve over pasta.""]",6
17808,17808,Flank Steak Fix-Up,"[""2 lb. beef flank steak, scored"", ""1 garlic clove, halved"", ""1 tsp. salt"", ""1/4 tsp. pepper"", ""4 to 6 slices bacon"", ""1/2 c. Gold Medal flour"", ""1 (8 oz.) can tomato sauce"", ""1/2 tsp. salt"", ""1/8 tsp. marjoram leaves"", ""1 Tbsp. snipped parsley"", ""1/2 c. finely chopped onion""]","[""Rub steak with garlic; sprinkle with 1 teaspoon salt and the pepper."", ""Cut meat crosswise into 4 to 6 serving pieces."", ""In large skillet, cook bacon."", ""Drain bacon; reserve 2 tablespoons drippings in skillet."", ""Place slice of bacon on each piece of meat, roll up and secure with wooden picks."", ""Coat rolls with flour."", ""Brown rolls in the reserved bacon drippings over medium heat.""]",6
17921,17921,Barbecued Meatballs,"[""3 lb. ground beef"", ""1 (12 oz.) can evaporated milk"", ""1 c. oatmeal"", ""1 c. cracker crumbs"", ""2 eggs"", ""1/2 c. chopped onions"", ""1/2 tsp. garlic powder"", ""2 tsp. salt"", ""1/2 tsp. pepper"", ""2 tsp. chili powder""]","[""To make meatballs:"", ""Combine all ingredients (mixture will be soft)."", ""Shape into walnut size meatballs."", ""Place meatballs in a single layer on wax paper lined cookie sheets."", ""Freeze until solid."", ""Store frozen meatballs in freezer bags until ready to cook."", ""Makes approximately 80 meatballs."", ""These are good for something rather quick."", ""Takes approximately 1 hour baking time.""]",6
18855,18855,Stuffed Cabbages,"[""1 large head cabbage"", ""1 lb. ground beef or chuck"", ""1/2 lb. ground pork"", ""1/2 tsp. salt"", ""1 tsp. pepper"", ""1 c. raw rice (not quick cook)"", ""1 large onion (1/2 grated and 1/2 sauteed in butter)"", ""1 to 2 c. cold water"", ""1 large can sauerkraut"", ""1 large can whole tomatoes, undrained""]","[""Core and steam cabbage until leaves can be peeled off in whole pieces."", ""In a large bowl, mix together meats, rice, onion, salt and pepper."", ""Add water to meat/rice mixture until \""sloppy\"" to the touch; more is better than not enough."", ""Line bottom of roast pan with outer, torn cabbage leaves (reserve enough to cover casserole, also)."", ""Pour 1/2 can of sauerkraut over leaves."", ""Roll small amount of meat/rice mixture in individual cabbage leaves, starting from stem side and tucking in edges."", ""Place rolls in layers on top of sauerkruat."", ""Add remaining sauerkraut with juice, tomatoes"", ""with juice and 1/2 can water."", ""Top with remaining torn leaves which will burn while cooking and will be discarded. Cover and bake at 350\u00b0 for 1 hour. Serve with mashed potatoes and crusty bread.""]",6
18889,18889,Orange Nut Glazed Raisin Bread,"[""1 c. milk"", ""1 1/2 tsp. salt"", ""1/2 c. sugar"", ""1/2 c. soft butter"", ""2 pkg. active dry yeast"", ""1/4 c. warm water"", ""5 1/4 to 5 3/4 c. sifted flour"", ""2 eggs"", ""1 tsp. grated orange peel"", ""1 tsp. ground ginger"", ""1 1/2 c. raisins""]","[""Scald milk, pour over salt, sugar and butter."", ""Blend and cool to lukewarm."", ""Sprinkle yeast on warm water, stir to dissolve."", ""Add to milk mixture with 2 1/2 cups flour."", ""Beat 2 minutes with electric mixer, then beat in eggs, orange peel, ginger, raisins and 1/2 cup flour."", ""Then mix in enough remaining flour, a little at a time with spoon."", ""Then use hands knead until smooth into a ball. Grease and let rise in warm place until doubled."", ""Punch down."", ""Let rise 15 minutes."", ""Make into 2 loaves."", ""Make 3 slashes in top."", ""Let raise not more than double."", ""Bake in moderate oven at 375\u00b0 for 40 to 50 minutes."", ""Cover with sheet of foil after 20 minutes if it browns too fast."", ""Remove loaves from pan."", ""Place on wire rack, spread Orange Glaze over them, then cool.""]",6
18913,18913,Merk'S Coffee Cake,"[""1/2 c. shortening"", ""3/4 c. sugar"", ""1 tsp. vanilla"", ""3 eggs (can use 2)"", ""2 c. sifted flour"", ""1 tsp. baking powder"", ""1 tsp. baking soda"", ""1/2 pt. commercial sour cream"", ""6 Tbsp. butter, soft"", ""1 c. firmly packed brown sugar"", ""2 tsp. cinnamon"", ""1 c. chopped nuts""]","[""Cream shortening, sugar and vanilla thoroughly."", ""Add eggs, singly, beating well after each addition."", ""Sift flour, baking powder and soda together."", ""Add to creamed mixture, alternating with sour cream, blending after each addition."", ""Spread half of batter in 10-inch tube pan, that has been greased and lined on the bottom with waxed paper."", ""Cream butter, brown sugar and cinnamon together."", ""Add nuts; mix well."", ""Dot batter in pan evenly with half of nut mixture."", ""Cover with remaining batter. Dot with remaining mixture."", ""Bake at 350\u00b0, about 50 minutes."", ""Cool cake for 10 minutes."", ""Remove from pan.""]",6
18991,18991,Venison Roast In Gravy,"[""5 to 7 lb. venison roast"", ""2 Tbsp. baking soda"", ""1/4 c. vinegar"", ""4 Tbsp. salt"", ""water (to cover roast)"", ""1 tsp. seasoned salt"", ""1 tsp. garlic powder"", ""1 tsp. black pepper"", ""1 tsp. soy sauce"", ""1 onion, sliced"", ""2 Tbsp. flour"", ""1/4 c. oleo"", ""1 to 2 qt. water""]","[""Soak venison roast for 4 hours in mixture of baking soda, vinegar, salt and water."", ""Rinse; soak in clear water 1 hour. Remove roast from water and pat dry."", ""Remove as much fat as possible before cooking to eliminate any gamey flavor."", ""Combine seasoned salt, garlic powder and pepper."", ""Sprinkle on both sides of roast."", ""Sprinkle with soy sauce."", ""Place onion slices on top of roast and sprinkle with 2 tablespoons flour."", ""Place thin slices of oleo on onion."", ""Wrap roast twice in heavy-duty aluminum foil. Place in roasting pan."", ""Add 1 quart water."", ""Cover and bake at 350\u00b0 for 4 to 5 hours."", ""Add water, if necessary, to roasting pan but do not open foil."", ""Remove roast from pan."", ""Carefully open foil and measure liquid."", ""Combine 1 1/2 tablespoons flour and 2 tablespoons water to each cup of liquid."", ""Stir well."", ""Stir into roast broth. Cook over medium heat, stirring constantly until thickened."", ""Serve gravy with roast.""]",6
19070,19070,Chicken In Tarragon Sauce,"[""4 boneless skinless chicken breasts"", ""4 tsp. butter"", ""5 oz. sliced mushrooms"", ""1 c. cognac"", ""1 c. heavy cream"", ""2 Tbsp. tarragon"", ""1/2 tsp. cayenne pepper"", ""2 tsp. lemon juice""]","[""On hard surface, with meat mallet, flatten each chicken breast."", ""In large frypan, place butter over medium high temperature."", ""Add chicken and saute about 4 minutes on each side or until lightly browned and fork can easily be inserted."", ""Remove chicken and keep warm."", ""In same frypan, add mushrooms and saute about 2 minutes."", ""Add cognac and carefully ignite by touching edge of pan with match flame."", ""(Always use caution when flaming!) Allow flame to completely die out after several minutes."", ""Add cream and cook over high heat until mixture reduces and thickens, coating back of spoon."", ""Stir in cayenne, tarragon, dash of salt and lemon juice."", ""Arrange chicken on a platter and pour sauce over to serve."", ""Serves 4.""]",6
19500,19500,"Super Easy, Super Quick Supper","[""1 box frozen chopped chicken or 1 lb. chicken, chopped and cooked"", ""1 bag frozen broccoli"", ""1 jar mushrooms"", ""1 small onion, chopped"", ""1 can bean sprouts"", ""1 can water chestnuts, sliced"", ""1 pkg. stir-fry seasoning"", ""soy sauce to taste"", ""3 c. cooked white rice""]","[""Heat 1 tablespoon cooking oil (any variety) in large frying pan."", ""Add onion and cook until clear."", ""Add chicken and cook until thawed."", ""Add broccoli and mushrooms and cook about 5 minutes until heated through."", ""Add bean sprouts and water chestnuts."", ""Mix stir-fry seasoning according to package directions and pour over stir-fry."", ""Add soy sauce to taste."", ""Be careful not to cook too long, bean sprouts will become soggy."", ""Serve immediately over hot cooked rice.""]",6
19527,19527,Tiramisu,"[""3 pkg. ladyfingers"", ""4 egg yolks"", ""1/4 c. sugar"", ""3 Tbsp. Marsala"", ""1/4 lb. Mascarpone cheese"", ""1 c. whipping cream"", ""6 Tbsp. powdered sugar"", ""1/2 tsp. vanilla"", ""1/2 c. espresso or strong coffee"", ""1/2 c. rum"", ""cocoa powder""]","[""In top of double boiler, beat egg yolks and 1/4 cup sugar with mixer for 5 minutes."", ""Set over simmering water; add Marsala and continue beating for 6 minutes."", ""(Keep beater on high speed.) Remove, set aside and cool."", ""In separate bowls, beat Mascarpone cheese (which is available in delis with imported cheeses) until smooth and whipping cream until it has soft peaks."", ""Fold together Mascarpone, whipping cream, powdered sugar and vanilla."", ""Mix together coffee and rum."", ""Layer one package of ladyfingers in flat bottom casserole and brush with 1/3 of the coffee mixture."", ""Spread 1/3 of the Mascarpone mixture on ladyfingers and top with 1/3 Marsala mixture."", ""Repeat with remaining ladyfingers, making 3 layers."", ""Sift cocoa powder evenly on top."", ""Cover lightly and refrigerate 3 hours."", ""Serves 10 to 12.""]",6
19643,19643,Stuffed Meat Loaf,"[""1 (8 oz.) pkg. herb-flavored stuffing mix, divided use"", ""1 c. canned stewed tomatoes"", ""1 1/2 to 2 lb. ground chuck"", ""1 egg, beaten""]","[""Combine 1 cup stuffing mix with the tomatoes, ground chuck, and egg, mixing well with your hands."", ""Prepare remaining stuffing mix as directed on package, following directions as if you were using all the bread."", ""Divide the meat mixture in half."", ""Drop chunks of half of the meat into 8 x 8-inch pan."", ""Top with the prepared stuffing and press down gently."", ""Layer the rest of the meat mixture on top."", ""Again in chunks."", ""Bake at 350\u00b0"", ""for 45 minutes to 1 hour, depending upon the amount of meat used."", ""Makes 9 servings.""]",6
19866,19866,Sweet Potato Pie,"[""1 (16 oz.) can sweet potatoes"", ""3/4 c. sugar"", ""1 tsp. ground cinnamon"", ""1/2 tsp. ground ginger"", ""1/2 tsp. ground nutmeg"", ""1/2 tsp. salt"", ""3 eggs"", ""1 c. evaporated milk"", ""pastry for single crust pie""]","[""In a large mixing bowl, combine sweet potatoes, sugar, cinnamon, ginger, nutmeg and salt."", ""Add eggs; with a fork, lightly beat eggs into sweet potato mixture."", ""Add the evaporated milk; mix well."", ""Place a pastry lined 9-inch pie plate on oven rack; pour in sweet potato mixture slowly."", ""Cover edge of pie with foil."", ""Bake in a 375\u00b0 oven for 25 minutes."", ""Remove foil."", ""Bake for 25 to 30 minutes more or until a knife inserted off-center comes out clean. Cool on wire rack."", ""Cover and chill to store."", ""Serves 8.""]",6
20349,20349,Rhubarb Upside-Down Cake,"[""3 c. mini marshmallows"", ""3 c. rhubarb"", ""1 c. sugar"", ""1 1/2 c. water"", ""1 small pkg. strawberry jello"", ""1 box yellow cake mix""]","[""Grease\t9"", ""x 13-inch cake pan.\tSpread 3 cups marshmallows"", ""on bottom of pan. In small saucepan, cook rhubarb, sugar and"", ""water. Remove"", ""from"", ""heat. Stir in strawberry jello mix. Cool."", ""Mix cake according to directions on package."", ""Pour cake mixture"", ""over marshmallows,"", ""very"", ""gently,"", ""then pour rhubarb mixture"", ""over the cake mixture, very gently.\tBake at 350\u00b0 for 45 to\t50 minutes. Cool in pan. When serving, turn cake pieces upside down and top with Cool Whip.""]",6
20361,20361,Cinnamon-Scented Rice Pudding,"[""3 1/2 c. 2% low-fat milk, divided"", ""1 c. short grain rice, uncooked"", ""1/3 c. sugar"", ""1 Tbsp. margarine"", ""1 (3-inch) strip lemon rind"", ""1 (3-inch) stick cinnamon"", ""1 egg"", ""1 tsp. vanilla extract"", ""1/4 c. golden raisins"", ""3 c. water""]","[""Combine 3 cups water, uncooked rice and next 4 ingredients in a medium saucepan."", ""Bring rice mixture to a boil over medium-high heat."", ""Reduce heat and simmer, uncovered, for 10 minutes, stirring occasionally."", ""Add 3 cups milk."", ""Combine remaining 1/2 cup milk and egg, stirring with a wire whisk."", ""Gradually stir about 1/4 of the hot rice mixture into the egg mixture."", ""Add back to the rice mixture; stir well."", ""Reduce heat and simmer, uncovered, for 40 minutes, stirring occasionally."", ""Remove from heat."", ""Discard lemon rind and cinnamon stick."", ""Stir in vanilla and raisins."", ""Serve warm or chilled."", ""Yields 6 servings.""]",6
20414,20414,Maria Solace'S Tiramisu Dessert,"[""1(16 oz.) container Mascarpone cream (can be purchased at an Italian specialty store)"", ""1/2 c. confectioners sugar"", ""3 Tbsp. coffee flavored liqueur"", ""1 tsp. vanilla extract"", ""3 sq. semi-sweet chocolate, coarsely grated"", ""1 1/2 c. whipping cream"", ""2 tsp. instant coffee (expresso coffee with a little sugar is best if you have it)"", ""Savoiardi biscuits (can be found at the Food Emporium)""]","[""In a bowl, beat cream, confectioners sugar, coffee liqueur, vanilla extract and 2/3 of grated chocolate."", ""Set aside remaining chocolate for top of dessert."", ""In another bowl, beat whipping cream until peaks form."", ""With rubber spatula, fold cream into Mascarpone mixture."", ""In a third bowl, mix coffee, liqueur, half teaspoon vanilla extract."", ""Dip Savoiardi biscuits into this mixture and line a cake pan (glass) or trifle bowl."", ""Spread some of the cream mixture over the biscuits and continue layering until cream mixture is finished."", ""Top with cocoa and grated chocolate."", ""If you desire, you can pipe out rosettes with whipped cream on top of dessert and dust peaks with cocoa powder."", ""Refrigerate.""]",6
20542,20542,Beef Stroganoff,"[""2 lb. beef tenderloin or sirloin steak"", ""1/4 c. butter or margarine"", ""1 (6 oz.) can sliced mushrooms, drained"", ""2 (10 oz.) cans condensed beef broth (bouillon)"", ""1/3 c. instant minced onion"", ""1/4 c. catsup"", ""1 1/2 tsp. garlic salt"", ""1/3 c. flour"", ""2 c. dairy sour cream"", ""8 to 10 oz. uncooked medium noodles"", ""3 Tbsp. butter or margarine""]","[""Cut meat across the grain into 3/4-inch slices."", ""Melt 1/4 cup butter in large skillet."", ""Cook and stir mushrooms in butter about 5 minutes; remove mushrooms."", ""In same skillet, brown meat. Reserving 2/3 cup broth, stir in remaining broth, the onion, catsup and garlic salt."", ""Cover and simmer 15 minutes."", ""Blend reserved broth and flour; stir into meat."", ""Add mushrooms; heat to boiling, stirring constantly."", ""Boil and stir 1 minute."", ""Stir in sour cream; heat through."", ""Cook noodles as directed; drain."", ""Toss with three tablespoons butter."", ""Serve with stroganoff.""]",6
20697,20697,Pumpkin Roll(Yields 1 Roll)  ,"[""3 eggs"", ""1 c. sugar"", ""2/3 c. pumpkin (canned)"", ""1 tsp. lemon juice"", ""3/4 c. flour"", ""1 tsp. baking powder"", ""2 tsp. cinnamon"", ""1 tsp. ginger"", ""1/2 tsp. nutmeg"", ""1/2 tsp. salt"", ""powdered sugar""]","[""Beat eggs for 5 minutes."", ""Gradually add regular sugar."", ""Fold in pumpkin."", ""Add lemon juice."", ""Mix well."", ""In another bowl, put flour, baking powder, cinnamon, ginger, nutmeg and salt."", ""Mix with pumpkin mixture by hand."", ""Line 17 x 12-inch cookie sheet with wax paper."", ""Pour mixture on wax paper and bake for 15 minutes at 370\u00b0. When done baking, turn over on dish towel that has been sprinkled a lot with powdered sugar."", ""Let cool just a couple of minutes, then very easily peel wax paper from pumpkin roll."", ""Next, very easily roll up in the towel and let cool for about an hour. After cake part has cooled for the hour, unroll it and spread the filling on it."", ""Roll it back up (without the towel).""]",6
21018,21018,German Cream Cheese Brownies,"[""4 oz. sweet German chocolate"", ""5 Tbsp. butter"", ""3 oz. cream cheese"", ""1 c. sugar"", ""3 eggs"", ""1/2 c. plus 1 Tbsp. flour"", ""1 1/2 tsp. vanilla extract"", ""1/2 tsp. baking powder"", ""1/4 tsp. salt"", ""1 1/2 c. chopped nuts"", ""1/4 tsp. almond extract""]","[""Melt chocolate and 3 tablespoons butter over low heat, stirring constantly. Cool."", ""Cream remaining 2 tablespoons butter with cream cheese until softened. Gradually add 1/4 cup sugar and cream until light and fluffy. Blend in 1 egg, 1 tablespoon flour and 1/2 teaspoon vanilla. Set aside."", ""Beat remaining 2 eggs until thick and light in color."", ""Gradually add remaining 3/4 cup sugar, beating until thickened. Add baking powder, salt and remaining 1/2 cup flour."", ""Blend in cooled chocolate mixture, nuts, almond extract and remaining 1 teaspoon vanilla extract."", ""Measure 1 cup chocolate batter and set aside."", ""Spread remaining chocolate batter in greased 9-inch square baking pan."", ""Top with cream cheese mixture. Drop reserved chocolate batter by tablespoon onto cheese mixture."", ""Swirl with spatula to marble."", ""Bake at 350\u00b0 for 35 to 40 minutes. Cool."", ""Cut into squares, cover and store in refrigerator.""]",6
21961,21961,Stir-Fried Pork With Mushrooms,"[""3/4 lb. lean pork"", ""2 1/2 Tbsp. soy sauce"", ""4 dried mushrooms"", ""8 medium sized mushrooms"", ""2 Tbsp. vegetable oil"", ""1 tsp. sugar"", ""2 Tbsp. sherry"", ""1/2 Tbsp. cornstarch blended in 4 Tbsp. broth""]","[""Cut pork into 1 1/2 x 1-inch very thin slices."", ""Add 1 1/2 tablespoons soy sauce to it to soak for a few minutes."", ""Soak dried mushrooms in 1/4 cup warm water for 20 minutes (retain water) and remove stems."", ""Remove stems from fresh mushrooms and wash thoroughly."", ""Heat 2 tablespoons oil in a large frying pan."", ""Add pork and stir-fry over high heat for 2 1/2 minutes and push to one side of the pan."", ""Stir-fry together both types of mushrooms for 1 minute."", ""Add the remaining soy sauce, sugar and sherry."", ""Mix and scramble the sliced pork together with the mushrooms for 1 minute. Pour in half the mushroom water and the cornstarch mixture. Stir and scramble together."", ""Soon after the contents reboil and thicken, dish out and serve.""]",6
22434,22434,Linguine With Clam Sauce,"[""5 (6 oz.) cans minced clams"", ""1 small bottle olive oil"", ""1 large onion"", ""1 large bell pepper (preferably red)"", ""2 large cloves fresh garlic"", ""1 medium pkg. linguini""]","[""Saute minced garlic in olive oil in skillet."", ""Then add chopped onion to mixture and saute."", ""Add diced bell pepper to mixture and saute."", ""Take juice from 2 cans of clams and pour into mixture. Drain juice from the rest of the clams and pour out."", ""Saute mixture while cooking linguini."", ""Add 2 drops olive oil to water when cooking linguini."", ""When cooked, drain and put in large bowl. Pour sauteed mixture over and mix.""]",6
22508,22508,German Pizza,"[""1 lb. hamburger"", ""1/2 medium onion, chopped"", ""1/2 green pepper, diced"", ""salt to taste"", ""pepper to taste"", ""2 Tbsp. butter or margarine"", ""6 medium potatoes, peeled and shredded"", ""3 eggs, beaten"", ""1/2 c. milk"", ""2 c. shredded cheese""]","[""In a 12-inch stove top or electric skillet over medium heat, brown beef with onion, green pepper, salt and pepper."", ""Remove meat mixture from skillet; drain fat."", ""Reduce heat to low."", ""Melt butter; spread potatoes over butter and sprinkle with salt."", ""Top with beef mixture."", ""Combine eggs and milk; pour over all."", ""Cook, covered, until potatoes are tender, about 30 minutes."", ""Top with cheese."", ""Cover and heat until cheese is melted, about 5 minutes.""]",6
22528,22528,Venison Sausage,"[""15 lb. lean venison"", ""15 lb. sausage"", ""4 oz. water"", ""1 1/2 oz. red pepper"", ""1 oz. nutmeg"", ""1/2 oz. paprika"", ""2 tsp. garlic powder"", ""12 oz. salt"", ""1/2 lb. dried milk""]","[""Remove all fat from the venison."", ""Venison fat is strong and musky and not good eating."", ""Use the same amount of lean fresh pork as you have of venison."", ""Your mixture should be half and half to be really good."", ""Grind up the meats and mix them together thoroughly."", ""Then add water, mixing well."", ""Mix in the seasonings. At this point, it is a good idea to cook a little of the sausage mixture and adjust seasonings to your taste."", ""Stuff the meat in casings, keeping the links about 6 to 8-inches long."", ""The sausage may also be molded into patties and wrapped in aluminum foil.""]",6
22571,22571,Pasta Primavera,"[""3/4 pkg. spaghetti"", ""1/2 small broccoli"", ""2 Tbsp. olive oil"", ""1 pkg. mushrooms"", ""1 small onion"", ""1 small carrot"", ""1 small red pepper"", ""1 (12 oz.) can evaporated milk"", ""2 tsp. chicken bouillon cubes"", ""1 1/4 tsp. cornstarch"", ""1/2 tsp. salt"", ""1 medium tomato"", ""2 Tbsp. grated Parmesan cheese"", ""2 Tbsp. minced parsley""]","[""Prepare spaghetti in saucepan over high heat."", ""In 1-inch boiling water, heat broccoli until boiling."", ""Reduce heat; cover and simmer 2 to 3 minutes."", ""In olive oil, cook mushrooms, onions and carrots, stirring frequently until vegetables are golden and crisp."", ""Add red pepper."", ""In large measuring cup with fork, mix evaporated milk, chicken bouillon, cornstarch and salt."", ""Stir this mix into vegetable mixture."", ""Over high heat, beat until boiling (1 minute)."", ""Add tomato, cheese, parsley, broccoli and spaghetti, tossing to coat well.""]",6
22659,22659,Scalloped Eggplant(Makes 4 To 6 Servings)  ,"[""2 medium size eggplants"", ""2 Tbsp. olive oil"", ""1 medium size yellow onion, peeled and chopped"", ""2 cloves garlic, peeled and minced"", ""1 tsp. dried basil, crumbled"", ""1 tsp. dried oregano, crumbled"", ""1/2 tsp. salt"", ""3 medium size fresh tomatoes, peeled, seeded and chopped, without juice"", ""1 tsp. butter"", ""1 c. shredded Swiss cheese""]","[""Peel eggplants and cut into 1-inch cubes."", ""Bring about 1-inch of lightly salted water to boil in a 2-quart saucepan, add eggplant."", ""Boil for 1 minute; do not overcook."", ""Drain gently, squeeze out excess moisture and set aside."", ""Heat oil in saucepan, add onion and garlic, cook, uncovered, over moderate heat for 5 minutes or until translucent."", ""Combine eggplant, onion, garlic, herbs and salt."", ""Place mixture in buttered 2-quart shallow baking dish."", ""Distribute tomatoes evenly over top."", ""Bake, uncovered, in preheated 375\u00b0 oven for 30 minutes."", ""Sprinkle with cheese, bake an additional 5 minutes.""]",6
22768,22768,Cauliflower Casserole,"[""1 whole cauliflower"", ""2 lb. tomatoes"", ""1 tsp. pepper"", ""1/2 tsp. salt"", ""1 whole green pepper"", ""1 whole onion"", ""1/4 c. cooking oil"", ""1 1/2 c. water"", ""2 c. rice"", ""1 lb. stew meat"", ""1/2 c. yogurt (plain)"", ""1/2 tsp. salt"", ""1/2 tsp. pepper"", ""season to taste""]","[""In a large pot, put cooking oil; after oil is hot, put in sliced onion (small pieces)."", ""After onion has become golden brown, put in tomatoes, green pepper and salt; cut into small pieces. Mix together well."", ""Cover and simmer five minutes after onion and tomatoes are well mixed."", ""Put in meat, stirring about 3 minutes; put in water."", ""Cover."", ""Let rice stand in water 30 minutes."", ""In small pan, fry pieces of cauliflower until all is done."", ""After meat is tender, put layer of meat and cauliflower on top of rice in a large pan, pouring meat juices also."", ""Place foil on top of pan."", ""Cook until rice is tender."", ""Serve with yogurt.""]",6
23572,23572,Banana Nut Bread,"[""1 3/4 c. flour"", ""1 1/4 tsp. baking powder"", ""1/2 tsp. baking soda"", ""2/3 c. sugar"", ""3/4 tsp. salt"", ""1/3 c. shortening"", ""2 eggs"", ""1 Tbsp. milk"", ""1 c. mashed, ripe banana"", ""1/4 c. chopped nuts""]","[""Stir dry ingredients in a bowl."", ""Set aside."", ""In a mixer bowl, beat sugar and shortening with an electric mixer until light."", ""Add eggs and milk, beat smooth after each addition."", ""Add flour mixture and banana alternately to creamed mixture, beating until smooth after each addition."", ""Fold in nuts."", ""Turn batter into lightly greased 8 x 4 x 2-inch pan."", ""Bake at 350\u00b0 for 60 to 65 minutes or until toothpick inserted near center comes clean."", ""Cool in pan 10 minutes."", ""Remove from pan."", ""Cool completely."", ""Freezes well.""]",6
